receipt_id,nm,cnt,price,total_price
ID0000,REAL GANACHE,1,"16,500","45,500"
ID0000,EGG TART,1,"13,000","45,500"
ID0000,PIZZA TOAST,1,"16,000","45,500"
ID0001,Kopi Susu Kolonel,1,23.000,23.000
ID0002,S-Ovaltine,1,"20,000","20,000"
ID0003,M-Caramel Black Tea,1X,"28,000","28,000"
ID0004,BBQ Chicken,1,"41,000","41,000"
ID0005,LE MINERAL,,"8,000","8,000"
ID0006,POTATO SAUSAGE BREAD,1,"19,000","123,000"
ID0006,OREO GREEN TEA SPREAD,1,"52,000","123,000"
ID0006,WHITE CHOCO BANANA SPREAD,1,"52,000","123,000"
ID0007,Choco Devil,4,"63,636","59,500"
ID0007,CP 360 Club Card,,"-9,545","59,500"
ID0008,TALAM UNGU,3X,"19,500","11,700"
ID0008,MIKA KECIL,1X,0,"11,700"
ID0009,Tahu Ikan Oma Giok,1,20.000,20.000
ID0010,Serbu,2,40.000,60.000
ID0010,Choco Peanut Bread,2,20.000,60.000
ID0011,Se'I Sapi Sambal Matah ( R ),1,20.000,89.100
ID0011,Se'I S-pi Lada Hitam (J),1,35.000,89.100
ID0011,Nasi Putih,2,10.000,89.100
ID0011,Milk Shake Coklat,1,16.000,89.100
ID0012,ES KOPI SUSU,4,72.000,72.000
ID0013,MINERAL 600 ML,1,"7,727","45,500"
ID0013,BULGOGI RICE R,1,"33,636","45,500"
ID0014,Arem Arem,2x,24.000,Rp 39.600
ID0014,Kroket,1x,12.000,Rp 39.600
ID0015,Arem Arem,2,24.000,Rp 59.400
ID0015,Pepenero Pastel,2,30.000,Rp 59.400
ID0016,TT,1,"20,000","20,000"
ID0017,LEMONADE 16OZ,1 x,"20,000","20,000"
ID0018,beef.c roll 3pcs,1,"10,000","25,000"
ID0018,kaya bred,1,"15,000","25,000"
ID0019,FUTAMI 17 GREEN TEA (CLASS,1,"12,500","42,500"
ID0019,EGG TART,1,"13,000","42,500"
ID0019,GRAIN CROQUE MONSIEUR,1,"17,000","42,500"
ID0020,JAMUR,2,"10,000","16,500"
ID0020,TAHU,1,"5,000","16,500"
ID0021,Mango Lemon Tea,1,"Rp 29,090","Rp 224,908"
ID0021,Sliders Set,1,"Rp 113,636","Rp 224,908"
ID0021,Chicken Vege Rice Bowl,1,"Rp 86,363","Rp 224,908"
ID0021,Discount BCA 15%,1,"- Rp 34,363","Rp 224,908"
ID0022,RedVelvet Nutella,1,"280,000","308,000"
ID0023,BUBBLE GUM,1,"18,182","20,000"
ID0024,PAIN AU CHOCOLATE,1,"11,000","80,500"
ID0024,CHOCO CUSTARD PASTRY,1,"12,000","80,500"
ID0024,MILK PASTRY ROLL,1,"9,000","80,500"
ID0024,REAL CHEESE INSIDE BREAD,1,"13,500","80,500"
ID0024,SAUSAGE BREAD,1,"15,000","80,500"
ID0024,HAM CHEESE FLAT BREAD,1,"20,000","80,500"
ID0025,Sop Sui Jiao,1,"33,000","207,900"
ID0025,Ha Kaou Udng,1,"28,000","207,900"
ID0025,Sio May Kpting,1,"23,500","207,900"
ID0025,Siomay Kmbinasi,1,"23,000","207,900"
ID0025,Leno Hong Kien,1,"30,000","207,900"
ID0025,Mie Kgkung Trsi,1,"35,500","207,900"
ID0025,Es Teh Tawar,1,"7,000","207,900"
